 time            v(clk)          v(vs)           v(vctail)       v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 4.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.11200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.51200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 7.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 7.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.11200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.51200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.01120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.05120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.09120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.13120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.17120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.21120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.25120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.29120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.33120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.37120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.41120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.45120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.49120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.53120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.57120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.61120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.65120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.69120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.73120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.77120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.81120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.85120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.89120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.93120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.97120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.00000000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.00100000e-09  1.50000000e-01  7.26608292e-01 -7.18802672e-05  1.50037802e+00  1.50037802e+00 -7.15102419e-03 -7.15102429e-03 
 2.00300000e-09  4.50000000e-01  7.88143549e-01 -2.40969217e-04  1.50113547e+00  1.50113547e+00 -2.27510789e-02 -2.27510791e-02 
 2.00700000e-09  1.05000000e+00  7.77961281e-01  4.29751931e-04  1.50258968e+00  1.50258966e+00 -5.39536036e-02 -5.39536033e-02 
 2.01000000e-09  1.50000000e+00  5.25959651e-01  2.53133893e-03  1.50331920e+00  1.50331916e+00 -7.20771153e-02 -7.20771143e-02 
 2.01072787e-09  1.50000000e+00  4.15886669e-01  3.14526469e-03  1.50332044e+00  1.50332037e+00 -7.24927807e-02 -7.24927791e-02 
 2.01218362e-09  1.50000000e+00  2.35175330e-01  4.18828225e-03  1.50332420e+00  1.50332322e+00 -7.24177303e-02 -7.24177113e-02 
 2.01509512e-09  1.50000000e+00  8.44816421e-02  5.40604700e-03  1.50316666e+00  1.50314797e+00 -7.20840730e-02 -7.20836638e-02 
 2.02091811e-09  1.50000000e+00  5.74867066e-02  6.54360901e-03  1.50229335e+00  1.50220647e+00 -7.21632473e-02 -7.21609186e-02 
 2.02848702e-09  1.50000000e+00  6.63187538e-02  7.78152764e-03  1.50103034e+00  1.50085022e+00 -7.21191374e-02 -7.21136761e-02 
 2.03990152e-09  1.50000000e+00  6.45301341e-02  9.72144782e-03  1.49920021e+00  1.49888189e+00 -7.22908486e-02 -7.22807308e-02 
 2.06273050e-09  1.50000000e+00  6.87359483e-02  1.34746444e-02  1.49556790e+00  1.49497566e+00 -7.23461938e-02 -7.23268701e-02 
 2.10273050e-09  1.50000000e+00  7.22012138e-02  1.98849532e-02  1.48942599e+00  1.48836413e+00 -7.26924231e-02 -7.26572895e-02 
 2.14273050e-09  1.50000000e+00  7.72851956e-02  2.60249079e-02  1.48351042e+00  1.48199129e+00 -7.28446596e-02 -7.27941235e-02 
 2.18273050e-09  1.50000000e+00  8.10244636e-02  3.19512076e-02  1.47783459e+00  1.47587011e+00 -7.31703092e-02 -7.31047430e-02 
 2.22273050e-09  1.50000000e+00  8.53617464e-02  3.76402776e-02  1.47236100e+00  1.46996271e+00 -7.33069802e-02 -7.32267602e-02 
 2.26273050e-09  1.50000000e+00  8.92514677e-02  4.31365399e-02  1.46709952e+00  1.46427835e+00 -7.36139729e-02 -7.35194515e-02 
 2.30273050e-09  1.50000000e+00  9.29869653e-02  4.84226137e-02  1.46202008e+00  1.45878678e+00 -7.37368841e-02 -7.36284166e-02 
 2.34273050e-09  1.50000000e+00  9.69458512e-02  5.35343168e-02  1.45712925e+00  1.45349388e+00 -7.40268215e-02 -7.39047427e-02 
 2.38273050e-09  1.50000000e+00  1.00195060e-01  5.84589667e-02  1.45240256e+00  1.44837514e+00 -7.41375075e-02 -7.40021548e-02 
 2.42273050e-09  1.50000000e+00  1.04162637e-01  6.32256024e-02  1.44784440e+00  1.44343420e+00 -7.44117994e-02 -7.42634926e-02 
 2.46273050e-09  1.50000000e+00  1.07017175e-01  6.78250521e-02  1.44343449e+00  1.43865087e+00 -7.45115699e-02 -7.43506311e-02 
 2.50273050e-09  1.50000000e+00  1.10949463e-01  7.22810327e-02  1.43917586e+00  1.43402735e+00 -7.47714557e-02 -7.45981927e-02 
 2.54273050e-09  1.50000000e+00  1.13481776e-01  7.65869567e-02  1.43505139e+00  1.42954673e+00 -7.48614314e-02 -7.46761540e-02 
 2.58273050e-09  1.50000000e+00  1.17347681e-01  8.07623716e-02  1.43106328e+00  1.42521037e+00 -7.51080001e-02 -7.49110066e-02 
 2.62273050e-09  1.50000000e+00  1.19614947e-01  8.48025610e-02  1.42719682e+00  1.42100380e+00 -7.51891420e-02 -7.49807329e-02 
 2.66273050e-09  1.50000000e+00  1.23393300e-01  8.87238087e-02  1.42345377e+00  1.41692797e+00 -7.54233500e-02 -7.52038166e-02 
 2.70273050e-09  1.50000000e+00  1.25440625e-01  9.25227283e-02  1.41982124e+00  1.41297025e+00 -7.54964834e-02 -7.52661195e-02 
 2.74273050e-09  1.50000000e+00  1.29117787e-01  9.62130461e-02  1.41630081e+00  1.40913144e+00 -7.57191705e-02 -7.54782633e-02 
 2.78273050e-09  1.50000000e+00  1.30980791e-01  9.97923009e-02  1.41288099e+00  1.40540033e+00 -7.57850038e-02 -7.55338430e-02 
 2.82273050e-09  1.50000000e+00  1.34548742e-01  1.03272210e-01  1.40956336e+00  1.40177774e+00 -7.59969071e-02 -7.57357783e-02 
 2.86273050e-09  1.50000000e+00  1.36255636e-01  1.06650938e-01  1.40633749e+00  1.39825356e+00 -7.60560484e-02 -7.57852400e-02 
 2.90273050e-09  1.50000000e+00  1.39710472e-01  1.09938618e-01  1.40320509e+00  1.39482871e+00 -7.62578147e-02 -7.59776131e-02 
 2.94273050e-09  1.50000000e+00  1.41283702e-01  1.13133824e-01  1.40015655e+00  1.39149396e+00 -7.63107852e-02 -7.60214796e-02 
 2.98273050e-09  1.50000000e+00  1.44624477e-01  1.16245428e-01  1.39719376e+00  1.38825043e+00 -7.65029818e-02 -7.62048620e-02 
 3.02273050e-09  1.50000000e+00  1.46082015e-01  1.19272263e-01  1.39430777e+00  1.38508953e+00 -7.65502267e-02 -7.62435855e-02 
 3.06273050e-09  1.50000000e+00  1.49309849e-01  1.22222189e-01  1.39150067e+00  1.38201262e+00 -7.67333504e-02 -7.64184830e-02 
 3.10273050e-09  1.50000000e+00  1.50666204e-01  1.25094190e-01  1.38876404e+00  1.37901166e+00 -7.67752493e-02 -7.64524544e-02 
 3.14273050e-09  1.50000000e+00  1.53783619e-01  1.27895307e-01  1.38610017e+00  1.37608823e+00 -7.69497348e-02 -7.66193153e-02 
 3.18273050e-09  1.50000000e+00  1.55050617e-01  1.30624600e-01  1.38350111e+00  1.37323474e+00 -7.69866092e-02 -7.66488718e-02 
 3.22273050e-09  1.50000000e+00  1.58061040e-01  1.33288440e-01  1.38096933e+00  1.37045301e+00 -7.71528360e-02 -7.68080935e-02 
 3.26273050e-09  1.50000000e+00  1.59248423e-01  1.35885918e-01  1.37849724e+00  1.36773578e+00 -7.71849568e-02 -7.68335260e-02 
 3.30273050e-09  1.50000000e+00  1.62155824e-01  1.38422847e-01  1.37608754e+00  1.36508512e+00 -7.73432556e-02 -7.69854610e-02 
 3.34273050e-09  1.50000000e+00  1.63271713e-01  1.40898317e-01  1.37373291e+00  1.36249408e+00 -7.73708490e-02 -7.70070198e-02 
 3.38273050e-09  1.50000000e+00  1.66084769e-01  1.43317864e-01  1.37143605e+00  1.35996471e+00 -7.75215242e-02 -7.71519983e-02 
 3.42273050e-09  1.50000000e+00  1.67132664e-01  1.45680405e-01  1.36919013e+00  1.35749054e+00 -7.75447898e-02 -7.71699095e-02 
 3.46273050e-09  1.50000000e+00  1.69849632e-01  1.47990792e-01  1.36699820e+00  1.35507405e+00 -7.76880683e-02 -7.73081888e-02 
 3.50273050e-09  1.50000000e+00  1.70840067e-01  1.50248148e-01  1.36485343e+00  1.35270874e+00 -7.77071428e-02 -7.73226224e-02 
 3.54273050e-09  1.50000000e+00  1.73465839e-01  1.52457010e-01  1.36275904e+00  1.35039727e+00 -7.78432391e-02 -7.74544500e-02 
 3.58273050e-09  1.50000000e+00  1.74403428e-01  1.54616447e-01  1.36070840e+00  1.34813335e+00 -7.78582433e-02 -7.74655618e-02 
 3.62273050e-09  1.50000000e+00  1.76939167e-01  1.56730570e-01  1.35870501e+00  1.34591995e+00 -7.79873309e-02 -7.75911467e-02 
 3.66273050e-09  1.50000000e+00  1.77830609e-01  1.58798519e-01  1.35674226e+00  1.34375075e+00 -7.79983520e-02 -7.75990617e-02 
 3.70273050e-09  1.50000000e+00  1.80285400e-01  1.60824363e-01  1.35482362e+00  1.34162875e+00 -7.81205996e-02 -7.77186132e-02 
 3.74273050e-09  1.50000000e+00  1.81130727e-01  1.62807032e-01  1.35294279e+00  1.33954793e+00 -7.81277149e-02 -7.77234493e-02 
 3.78273050e-09  1.50000000e+00  1.83508190e-01  1.64750341e-01  1.35110336e+00  1.33751140e+00 -7.82432528e-02 -7.78371401e-02 
 3.82273050e-09  1.50000000e+00  1.84311057e-01  1.66653210e-01  1.34929917e+00  1.33551330e+00 -7.82465100e-02 -7.78389890e-02 
 3.86273050e-09  1.50000000e+00  1.86614712e-01  1.68519228e-01  1.34753389e+00  1.33355684e+00 -7.83554465e-02 -7.79469726e-02 
 3.90273050e-09  1.50000000e+00  1.87378351e-01  1.70347307e-01  1.34580151e+00  1.33163631e+00 -7.83548740e-02 -7.79459094e-02 
 3.94273050e-09  1.50000000e+00  1.89611561e-01  1.72140834e-01  1.34410576e+00  1.32975498e+00 -7.84572974e-02 -7.80483222e-02 
 3.98273050e-09  1.50000000e+00  1.90338857e-01  1.73898712e-01  1.34244075e+00  1.32790726e+00 -7.84529062e-02 -7.80444070e-02 
 4.02273050e-09  1.50000000e+00  1.92504819e-01  1.75624146e-01  1.34081029e+00  1.32609652e+00 -7.85488872e-02 -7.81413698e-02 
 4.06273050e-09  1.50000000e+00  1.93198362e-01  1.77316036e-01  1.33920861e+00  1.32431727e+00 -7.85406733e-02 -7.81346502e-02 
 4.10273050e-09  1.50000000e+00  1.95300103e-01  1.78977418e-01  1.33763955e+00  1.32257295e+00 -7.86302663e-02 -7.82262700e-02 
 4.14273050e-09  1.50000000e+00  1.95962236e-01  1.80607193e-01  1.33609746e+00  1.32085817e+00 -7.86182122e-02 -7.82167818e-02 
 4.18273050e-09  1.50000000e+00  1.98002612e-01  1.82208239e-01  1.33458621e+00  1.31917643e+00 -7.87014573e-02 -7.83031532e-02 
 4.22273050e-09  1.50000000e+00  1.98635466e-01  1.83779465e-01  1.33310028e+00  1.31752244e+00 -7.86855331e-02 -7.82909223e-02 
 4.26273050e-09  1.50000000e+00  2.00617166e-01  1.85323603e-01  1.33164356e+00  1.31589973e+00 -7.87624576e-02 -7.83721290e-02 
 4.30273050e-09  1.50000000e+00  2.01222686e-01  1.86839570e-01  1.33021062e+00  1.31430313e+00 -7.87426230e-02 -7.83571723e-02 
 4.34273050e-09  1.50000000e+00  2.03148245e-01  1.88329964e-01  1.32880539e+00  1.31273619e+00 -7.88132423e-02 -7.84332881e-02 
 4.38273050e-09  1.50000000e+00  2.03728213e-01  1.89793712e-01  1.32742251e+00  1.31119383e+00 -7.87894475e-02 -7.84156148e-02 
 4.42273050e-09  1.50000000e+00  2.05600014e-01  1.91233288e-01  1.32606595e+00  1.30967964e+00 -7.88537667e-02 -7.84867045e-02 
 4.46273050e-09  1.50000000e+00  2.06156070e-01  1.92647631e-01  1.32473043e+00  1.30818861e+00 -7.88259533e-02 -7.84663168e-02 
 4.50273050e-09  1.50000000e+00  2.07976356e-01  1.94039100e-01  1.32341993e+00  1.30672436e+00 -7.88839683e-02 -7.85324373e-02 
 4.54273050e-09  1.50000000e+00  2.08509567e-01  1.95406716e-01  1.32212921e+00  1.30528189e+00 -7.88520672e-02 -7.85093326e-02 
 4.58273050e-09  1.50000000e+00  2.10280918e-01  1.96752655e-01  1.32086229e+00  1.30386492e+00 -7.89037595e-02 -7.85705318e-02 
 4.62273050e-09  1.50000000e+00  2.10793297e-01  1.98075889e-01  1.31961410e+00  1.30246859e+00 -7.88677007e-02 -7.85446985e-02 
 4.66273050e-09  1.50000000e+00  2.12517088e-01  1.99378565e-01  1.31838859e+00  1.30109655e+00 -7.89130555e-02 -7.86010220e-02 
 4.70273050e-09  1.50000000e+00  2.13009867e-01  2.00659669e-01  1.31718077e+00  1.29974402e+00 -7.88727614e-02 -7.85724468e-02 
 4.74273050e-09  1.50000000e+00  2.14688023e-01  2.01921255e-01  1.31599458e+00  1.29841466e+00 -7.89117516e-02 -7.86239321e-02 
 4.78273050e-09  1.50000000e+00  2.15162768e-01  2.03162268e-01  1.31482516e+00  1.29710382e+00 -7.88671447e-02 -7.85925977e-02 
 4.82273050e-09  1.50000000e+00  2.16796676e-01  2.04384736e-01  1.31367640e+00  1.29581509e+00 -7.88997446e-02 -7.86392805e-02 
 4.86273050e-09  1.50000000e+00  2.17253900e-01  2.05587678e-01  1.31254345e+00  1.29454384e+00 -7.88507338e-02 -7.86051669e-02 
 4.90273050e-09  1.50000000e+00  2.18845815e-01  2.06772974e-01  1.31143025e+00  1.29329373e+00 -7.88768985e-02 -7.86470723e-02 
 4.94273050e-09  1.50000000e+00  2.19286589e-01  2.07939669e-01  1.31033202e+00  1.29206020e+00 -7.88233926e-02 -7.86101551e-02 
 4.98273050e-09  1.50000000e+00  2.20838065e-01  2.09089559e-01  1.30925267e+00  1.29084689e+00 -7.88430792e-02 -7.86473075e-02 
 5.02273050e-09  1.50000000e+00  2.21263376e-01  2.10221711e-01  1.30818753e+00  1.28964930e+00 -7.87849843e-02 -7.86075598e-02 
 5.06273050e-09  1.50000000e+00  2.22775892e-01  2.11337847e-01  1.30714046e+00  1.28847107e+00 -7.87981459e-02 -7.86399798e-02 
 5.10273050e-09  1.50000000e+00  2.23186649e-01  2.12437053e-01  1.30610686e+00  1.28730778e+00 -7.87353651e-02 -7.85973727e-02 
 5.14273050e-09  1.50000000e+00  2.24661614e-01  2.13520980e-01  1.30509059e+00  1.28616303e+00 -7.87419511e-02 -7.86250778e-02 
 5.18273050e-09  1.50000000e+00  2.25058663e-01  2.14588736e-01  1.30408710e+00  1.28503247e+00 -7.86743855e-02 -7.85795805e-02 
 5.22273050e-09  1.50000000e+00  2.26497416e-01  2.15641903e-01  1.30310023e+00  1.28391971e+00 -7.86743420e-02 -7.86025852e-02 
 5.26273050e-09  1.50000000e+00  2.26881543e-01  2.16679613e-01  1.30212551e+00  1.28282044e+00 -7.86018909e-02 -7.85541655e-02 
 5.30273050e-09  1.50000000e+00  2.28285358e-01  2.17703382e-01  1.30116673e+00  1.28173824e+00 -7.85951614e-02 -7.85724818e-02 
 5.34273050e-09  1.50000000e+00  2.28657294e-01  2.18712365e-01  1.30021950e+00  1.28066890e+00 -7.85177225e-02 -7.85211063e-02 
 5.38273050e-09  1.50000000e+00  2.30027387e-01  2.19708015e-01  1.29928759e+00  1.27961595e+00 -7.85042480e-02 -7.85347439e-02 
 5.42273050e-09  1.50000000e+00  2.30387814e-01  2.20689509e-01  1.29836667e+00  1.27857524e+00 -7.84217182e-02 -7.84803781e-02 
 5.46273050e-09  1.50000000e+00  2.31725339e-01  2.21658243e-01  1.29746048e+00  1.27755029e+00 -7.84014377e-02 -7.84893449e-02 
 5.50273050e-09  1.50000000e+00  2.32074894e-01  2.22613417e-01  1.29656474e+00  1.27653701e+00 -7.83137131e-02 -7.84319537e-02 
 5.54273050e-09  1.50000000e+00  2.33380955e-01  2.23556369e-01  1.29568317e+00  1.27553888e+00 -7.82865639e-02 -7.84362558e-02 
 5.58273050e-09  1.50000000e+00  2.33720233e-01  2.24486322e-01  1.29481157e+00  1.27455189e+00 -7.81935399e-02 -7.83758034e-02 
 5.62273050e-09  1.50000000e+00  2.34995879e-01  2.25404561e-01  1.29395359e+00  1.27357948e+00 -7.81594580e-02 -7.83754455e-02 
 5.66273050e-09  1.50000000e+00  2.35325439e-01  2.26310330e-01  1.29310512e+00  1.27261770e+00 -7.80610300e-02 -7.83118957e-02 
 5.70273050e-09  1.50000000e+00  2.36571673e-01  2.27204865e-01  1.29226978e+00  1.27166997e+00 -7.80199503e-02 -7.83068811e-02 
 5.74273050e-09  1.50000000e+00  2.36892037e-01  2.28087430e-01  1.29144350e+00  1.27073238e+00 -7.79160136e-02 -7.82401977e-02 
 5.78273050e-09  1.50000000e+00  2.38109816e-01  2.28959214e-01  1.29062987e+00  1.26980834e+00 -7.78678700e-02 -7.82305284e-02 
 5.82273050e-09  1.50000000e+00  2.38421473e-01  2.29819501e-01  1.28982490e+00  1.26889399e+00 -7.77583203e-02 -7.81606751e-02 
 5.86273050e-09  1.50000000e+00  2.39611714e-01  2.30669436e-01  1.28903212e+00  1.26799270e+00 -7.77030462e-02 -7.81463525e-02 
 5.90273050e-09  1.50000000e+00  2.39915123e-01  2.31508321e-01  1.28824760e+00  1.26710068e+00 -7.75877795e-02 -7.80732928e-02 
 5.94273050e-09  1.50000000e+00  2.41078699e-01  2.32337258e-01  1.28747486e+00  1.26622126e+00 -7.75253079e-02 -7.80543173e-02 
 5.98273050e-09  1.50000000e+00  2.41374292e-01  2.33155570e-01  1.28671001e+00  1.26535071e+00 -7.74042209e-02 -7.79780152e-02 
 6.02273050e-09  1.50000000e+00  2.42512042e-01  2.33964319e-01  1.28595652e+00  1.26449233e+00 -7.73344845e-02 -7.79543864e-02 
 6.06273050e-09  1.50000000e+00  2.42800224e-01  2.34762845e-01  1.28521057e+00  1.26364243e+00 -7.72074746e-02 -7.78748061e-02 
 6.10273050e-09  1.50000000e+00  2.43912949e-01  2.35552171e-01  1.28447561e+00  1.26280429e+00 -7.71304062e-02 -7.78465232e-02 
 6.14273050e-09  1.50000000e+00  2.44194099e-01  2.36331656e-01  1.28374785e+00  1.26197428e+00 -7.69973718e-02 -7.77636292e-02 
 6.18273050e-09  1.50000000e+00  2.45282568e-01  2.37102286e-01  1.28303071e+00  1.26115563e+00 -7.69129043e-02 -7.77306908e-02 
 6.22273050e-09  1.50000000e+00  2.45557046e-01  2.37863438e-01  1.28232047e+00  1.26034476e+00 -7.67737449e-02 -7.76444481e-02 
 6.26273050e-09  1.50000000e+00  2.46621996e-01  2.38616062e-01  1.28162048e+00  1.25954489e+00 -7.66818114e-02 -7.76068527e-02 
 6.30273050e-09  1.50000000e+00  2.46890137e-01  2.39359554e-01  1.28092710e+00  1.25875248e+00 -7.65364277e-02 -7.75172267e-02 
 6.34273050e-09  1.50000000e+00  2.47932275e-01  2.40094829e-01  1.28024365e+00  1.25797070e+00 -7.64369617e-02 -7.74749723e-02 
 6.38273050e-09  1.50000000e+00  2.48194396e-01  2.40821299e-01  1.27956652e+00  1.25719608e+00 -7.62852557e-02 -7.73819291e-02 
 6.42273050e-09  1.50000000e+00  2.49214401e-01  2.41539848e-01  1.27889900e+00  1.25643175e+00 -7.61781915e-02 -7.73350136e-02 
 6.46273050e-09  1.50000000e+00  2.49470801e-01  2.42249906e-01  1.27823753e+00  1.25567429e+00 -7.60200666e-02 -7.72385200e-02 
 6.50273050e-09  1.50000000e+00  2.50469324e-01  2.42952324e-01  1.27758537e+00  1.25492680e+00 -7.59053389e-02 -7.71869411e-02 
 6.54273050e-09  1.50000000e+00  2.50720284e-01  2.43646547e-01  1.27693901e+00  1.25418590e+00 -7.57406999e-02 -7.70869644e-02 
 6.58273050e-09  1.50000000e+00  2.51697952e-01  2.44333399e-01  1.27630167e+00  1.25345466e+00 -7.56182444e-02 -7.70307198e-02 
 6.62273050e-09  1.50000000e+00  2.51943738e-01  2.45012340e-01  1.27566989e+00  1.25272975e+00 -7.54469979e-02 -7.69272282e-02 
 6.66273050e-09  1.50000000e+00  2.52901154e-01  2.45684165e-01  1.27504684e+00  1.25201421e+00 -7.53167510e-02 -7.68663156e-02 
 6.70273050e-09  1.50000000e+00  2.53142013e-01  2.46348351e-01  1.27442914e+00  1.25130474e+00 -7.51388050e-02 -7.67592780e-02 
 6.74273050e-09  1.50000000e+00  2.54079757e-01  2.47005663e-01  1.27381989e+00  1.25060436e+00 -7.50007042e-02 -7.66936950e-02 
 6.78273050e-09  1.50000000e+00  2.54315927e-01  2.47655594e-01  1.27321578e+00  1.24990982e+00 -7.48159687e-02 -7.65830811e-02 
 6.82273050e-09  1.50000000e+00  2.55234555e-01  2.48298885e-01  1.27261986e+00  1.24922409e+00 -7.46699524e-02 -7.65128257e-02 
 6.86273050e-09  1.50000000e+00  2.55466258e-01  2.48935041e-01  1.27202888e+00  1.24854398e+00 -7.44783389e-02 -7.63986059e-02 
 6.90273050e-09  1.50000000e+00  2.56366309e-01  2.49564778e-01  1.27144585e+00  1.24787242e+00 -7.43243468e-02 -7.63236759e-02 
 6.94273050e-09  1.50000000e+00  2.56593754e-01  2.50187617e-01  1.27086755e+00  1.24720627e+00 -7.41257689e-02 -7.62058217e-02 
 6.98273050e-09  1.50000000e+00  2.57475745e-01  2.50804249e-01  1.27029697e+00  1.24654841e+00 -7.39637417e-02 -7.61262152e-02 
 7.02273050e-09  1.50000000e+00  2.57699131e-01  2.51414207e-01  1.26973094e+00  1.24589576e+00 -7.37581147e-02 -7.60046987e-02 
 7.06273050e-09  1.50000000e+00  2.58563561e-01  2.52018162e-01  1.26917241e+00  1.24525116e+00 -7.35879945e-02 -7.59204141e-02 
 7.10273050e-09  1.50000000e+00  2.58783074e-01  2.52615658e-01  1.26861824e+00  1.24461158e+00 -7.33752357e-02 -7.57952082e-02 
 7.14273050e-09  1.50000000e+00  2.59630425e-01  2.53207345e-01  1.26807136e+00  1.24397983e+00 -7.31969657e-02 -7.57062440e-02 
 7.18273050e-09  1.50000000e+00  2.59846243e-01  2.53792780e-01  1.26752867e+00  1.24335290e+00 -7.29769943e-02 -7.55773228e-02 
 7.22273050e-09  1.50000000e+00  2.60676977e-01  2.54372591e-01  1.26699306e+00  1.24273358e+00 -7.27905193e-02 -7.54836778e-02 
 7.26273050e-09  1.50000000e+00  2.60889267e-01  2.54946348e-01  1.26646148e+00  1.24211892e+00 -7.25632565e-02 -7.53510160e-02 
 7.30273050e-09  1.50000000e+00  2.61703834e-01  2.55514658e-01  1.26593678e+00  1.24151164e+00 -7.23685224e-02 -7.52526893e-02 
 7.34273050e-09  1.50000000e+00  2.61912753e-01  2.56077103e-01  1.26541597e+00  1.24090885e+00 -7.21338915e-02 -7.51162626e-02 
 7.38273050e-09  1.50000000e+00  2.62711584e-01  2.56634272e-01  1.26490183e+00  1.24031325e+00 -7.19308458e-02 -7.50132534e-02 
 7.42273050e-09  1.50000000e+00  2.62917282e-01  2.57185757e-01  1.26439144e+00  1.23972198e+00 -7.16887721e-02 -7.48730384e-02 
